tips.game.skinpacks	Je kunt het uiterlijk van je personage aanpassen met een skinpakket uit de winkel. Selecteer 'Winkel' in het hoofdmenu om te zien wat er beschikbaar is.
tips.game.1	IJzergolems vechten voor jou!
tips.game.2	Verander de helderheidsinstelling om het spel helderder of donkerder te maken.
tips.game.3	Als je de moeilijkheidsgraad van het spel instelt op Vreedzaam, wordt je gezondheid automatisch hersteld en zijn er 's nachts geen monsters!
tips.game.4	Geef een wolf een bot om hem te temmen. Je kunt hem dan laten zitten of je laten volgen.
tips.game.5	Als je een pompoen op je hoofd draagt, vallen Endermannen je niet aan.
tips.game.6	Slaap 's nachts in een bed om het spel snel vooruit te laten spoelen naar zonsopgang. Let wel op: alle spelers in een multiplayerspel moeten tegelijkertijd in bed slapen om dit te doen.
tips.game.7	Vergaar voedsel van varkens, koeien, schapen, konijnen en kippen. Kook en eet het om je gezondheid te herstellen!
tips.game.8	Vergaar leer van koeien en maak er een pantser of boeken van.
tips.game.9	Als je een lege emmer hebt, kun je die vullen met water, lava of melk van een koe!
tips.game.10	Gebruik een schoffel om stukken grond te ontginnen voor planten.
tips.game.11	Spinnen vallen je overdag niet aan, alleen als jij hen aanvalt.
tips.game.12	Door dieren te voeren voorkom je dat ze verdwijnen. Bouw een hok om je dieren te beschermen.
tips.game.13	Het eten van gekookt voedsel stilt de honger beter dan het eten van rauw voedsel.
tips.game.14	Vervaardig fakkels om donkere gebieden, waar monster schuilgaan, te verlichten!
tips.game.15	Bereik je bestemming sneller met een mijnkarretje en spoor.
tips.game.16	Plant jonge boompjes om ze uit te laten groeien tot volwassen bomen.
tips.game.17	Varkensmannen vallen je overdag niet aan, alleen als jij hen aanvalt.
tips.game.18	Slaap in een bed om je spawnpunt te wijzigen en snel naar zonsopgang te gaan.
tips.game.19	Sla die vuurballen terug naar de Ghast!
tips.game.20	Bouw een portaal om naar een andere dimensie te reizen, de Nether.
tips.game.22	Gebruik het juiste gereedschap voor elke klus! Graven gaat zoveel sneller met een spade dan met een pikhouweel!
tips.game.23	Als je geen steenkool kunt vinden voor je fakkels, kun je altijd houtskool maken van bomen in een oven.
tips.game.24	Recht omlaag of omhoog graven is geen goed idee.
tips.game.25	Je kunt beendermeel (wat je maakt van skeletbotten) gebruiken als meststof en er dingen meteen mee laten groeien!
tips.game.26	Creepers ontploffen als ze in je buurt zijn!
tips.game.27	Lavaglas ontstaat op het moment dat water een lavabronblok raakt.
tips.game.28	Als je het bronblok voor water of lava verwijdert, wordt de stroom volledig gestopt.
tips.game.29	Keien zijn bestand tegen de vuurballen van Ghasts en daarom handig om portalen te bewaken.
tips.game.30	Met blokken die je kunt gebruiken als lichtbron smelt je sneeuw en ijs. Dit geldt ook voor fakkels, gloeistenen en dwaallichten.
tips.game.31	Wees voorzichtig tijdens de bouw van bouwwerken van wol in de open lucht. Bliksem tijdens onweer kan de wol vlam laten vatten.
tips.game.32	Met een enkele emmer lava kun je in de oven 100 blokken smelten.
tips.game.33	Het instrument waarop wordt gespeeld door een notenblok is afhankelijk van het materiaal eronder.
tips.game.34	Zombies en skeletten kunnen tegen daglicht als ze zich in water bevinden of een helm dragen.
tips.game.35	Als je een wolf aanvalt, worden alle wolven in de directe omgeving boos en vallen je aan. Ook zombievarkensmannen functioneren op deze manier.
tips.game.36	Wolven en ijzergolems vallen Creepers niet aan.
tips.game.37	Kippen leggen elke 5 tot 10 minuten een ei.
tips.game.38	Je kunt lavaglas alleen delven met een diamanten pikhouweel.
tips.game.39	Creepers zijn de makkelijkst verkrijgbare bron van buskruit.
tips.game.41	Plaats twee kisten naast elkaar om één grote te maken.
tips.game.42	Bij tamme wolven kun je aan de positie van hun staart hun gezondheid aflezen. Voer ze vlees om ze te genezen.
tips.game.43	Je kunt met verschillende materialen verschillende kleuren verf maken. Je kunt bijvoorbeeld een cactus in de oven koken om groene verf te maken!
tips.game.44	Op mobiele apparaten kun je het pakket 'Muziek van Minecraft' downloaden onder de categorie Muziek in de Minecraft-winkel.
tips.game.45	Sommige dieren volgen je als je tarwe in je hand hebt.
tips.trivia.1	Muziek van C418!
tips.trivia.2	Uiteindelijk komt er een update voor dit spel!
tips.trivia.3	Mojang heeft meer prijzen dan personeel!
tips.trivia.4	Sommige beroemde mensen spelen Minecraft!
