hostOption.setWorldSpawn	Fijar punto de generación
hostOption.teleport	Teletransportarse
hostOption.teleport.who	Quién
hostOption.teleport.where	Dónde
hostOption.time	Hora
hostOption.time.sunrise	Amanecer
hostOption.time.day	Día
hostOption.time.noon	Mediodía
hostOption.time.sunset	Puesta de sol
hostOption.time.night	Noche
hostOption.time.midnight	Medianoche
hostOption.weather	Tiempo atmosférico
hostOption.weather.clear	Despejado
hostOption.weather.rain	Lluvia
hostOption.weather.thunderstorm	Tormenta
