tips.game.skinpacks	Puoi cambiare l'aspetto del tuo personaggio con un pacchetto skin disponibile nel Negozio. Seleziona "Negozio di Minecraft" per scoprire i pacchetti skin disponibili.
tips.game.1	I golem di ferro combatteranno per te!
tips.game.2	Modifica le impostazioni gamma per aumentare o diminuire la luminosità del gioco.
tips.game.3	Impostando la difficoltà del gioco su Relax, la salute verrà rigenerata automaticamente e di notte non usciranno mostri!
tips.game.4	Dai un osso a un lupo per ammansirlo. Potrai chiedergli di sedersi o di seguirti.
tips.game.5	Se indossi una zucca in testa, gli Endermen non ti attaccheranno.
tips.game.6	Se di notte dormi in un letto, il gioco scorrerà velocemente fino all'alba. Perché ciò avvenga è però necessario che tutti i giocatori nella modalità multiplayer dormano contemporaneamente.
tips.game.7	Raccogli il cibo da maiali, mucche, pecore, conigli e galline; poi cucinalo e mangialo per recuperare salute!
tips.game.8	Ottieni della pelle dalle mucche e usala per costruire un'armatura.
tips.game.9	Se hai un secchio vuoto, puoi riempirlo di latte di mucca, acqua o lava!
tips.game.10	Usa una zappa per preparare un appezzamento di terreno pronto per la coltura.
tips.game.11	I ragni non attaccano durante il giorno, a meno che non vengano attaccati per primi.
tips.game.12	Nutrire un animale farà in modo che non si rigeneri. Costruisci un recinto per tenere i tuoi animali al sicuro.
tips.game.13	Il cibo cucinato riduce la fame più dei cibi crudi.­
tips.game.14	Crea delle torce per illuminare le zone buie. I mostri si nascondono nell'oscurità!
tips.game.15	Arriva prima a destinazione usando un vagonetto e un binario!
tips.game.16	Pianta degli arbusti e cresceranno fino a diventare alberi.
tips.game.17	Gli uomini-maiale non ti attaccheranno, a meno che non vengono attaccati per primi.
tips.game.18	È possibile modificare il punto di generazione e passare all'alba successiva dormendo in un Letto.
tips.game.19	Rispondi all'attacco di palle di fuoco del Ghast!
tips.game.20	Costruendo un portale potrai accedere a un'altra dimensione, il Nether.
tips.game.22	Utilizza l'attrezzo giusto! Scaverai la terra molto più velocemente con una pala che con una piccozza.
tips.game.23	Se non trovi il carbone per le torce, puoi sempre creare della carbonella usando degli alberi in una fornace.
tips.game.24	Scavare in linea retta verso l'alto o verso il basso non è una grande idea.
tips.game.25	La farina d'ossa (creata da un osso di scheletro) può essere usata come fertilizzante e tutto crescerà in un istante!
tips.game.26	I creeper esplodono man mano che si avvicinano a te!
tips.game.27	L'ossidiana viene creata quando l'acqua entra in contatto con un blocco che produce della lava.
tips.game.28	Se il blocco da cui si origina l'acqua o la lava viene rimosso, il flusso verrà interrotto del tutto.
tips.game.29	I ciottoli non subiscono danni quando vengono colpiti dalle palle di fuoco dei Ghast; per questo sono utili per proteggere i portali.
