tips.game.skinpacks	Você pode mudar o aspecto de seu personagem com um Pacote de Capas da Loja Minecraft. Selecione "Loja Minecraft" no Menu Principal e veja o que está disponível.
tips.game.1	Os Golem de Ferro vão lutar por você!
tips.game.2	Altere as configurações de gama para deixar o jogo mais claro ou mais escuro.
tips.game.3	Se você definir a dificuldade do jogo para Pacífico, sua energia regenerará automaticamente e nenhum monstro sairá à noite!
tips.game.4	Dê um osso a um lobo para torná-lo amigável. Depois, poderá fazê-lo sentar ou seguir você.
tips.game.5	usar uma abóbora na cabeça vi impedir o ataque dos Endermen.
tips.game.6	Ao dormir em uma cama à noite, o tempo passará rapidamente no jogo até o nascer do sol, mas todos os jogadores em um jogo multijogador devem estar na cama ao mesmo tempo.
tips.game.7	Recolha ingredientes dos porcos, das vacas, ovelhas, dos coelhos e das galinhas. Cozinhe-os e coma-os para ganhar saúde novamente!
tips.game.8	Extraia couro das vacas e use-o para fazer armaduras.
tips.game.9	Se tiver um balde vazio, poderá enchê-lo com leite de uma vaca, com água ou lava!
tips.game.10	Use uma enxada para preparar áreas do solo para plantar.
tips.game.11	As aranhas não o atacarão durante o dia, a menos que você as ataque.
tips.game.12	Alimentar um animal evitará que eles deixem de ser domados. Construa uma caneta para proteger seus animais.
tips.game.13	Comer alimentos preparados reduz mais a fome do que comer alimentos crus.
tips.game.14	Prepare tochas para iluminar as áreas escuras. Os Monstros se escondem na escuridão!
tips.game.15	Chegue aos destinos mais rápido com um carrinho de minas e trilhos!
tips.game.16	Plante algumas mudas e elas crescerão e se tornarão árvores.
tips.game.17	Os homens-porco não o atacarão, a menos que você os ataque.
tips.game.18	Você pode alterar seu ponto de criação no jogo e avançar até o nascer do sol dormindo em uma cama.
tips.game.19	Devolva aquelas bolas de fogo para o Ghast!
tips.game.20	Ao construir um portal, você poderá viajar para outra dimensão: o Nether.
tips.game.22	Use a ferramenta da direita para o serviço! Cavar terra com uma pá é mais rápido do que usar uma picareta!
tips.game.23	Se não encontrar carvão para suas tochas, faça carvão vegetal com árvores em uma fornalha.
tips.game.24	Cavar diretamente para baixo ou para cima não é uma boa ideia.
tips.game.25	A Farinha de Osso (criada com ossos de Esqueleto) pode ser usada como fertilizante e fazer as coisas crescerem instantaneamente!
tips.game.26	Os creepers explodirão se chegarem perto de você!
tips.game.27	A obsidiana é criada quando a água encontra um bloco de origem de lava.
tips.game.28	Se a fonte do bloco para água ou lava for removida, o fluxo vai parar completamente.
tips.game.29	O Pedregulho é resistente às Bolas de Fogo do Ghast, o que o torna útil para proteger portais.
tips.game.30	Blocos que podem ser usados como fonte de luz derretem neve e gelo. Eles incluem Tochas, Pedras Luminosas e Abóboras de Halloween.
tips.game.31	Tome cuidado ao construir estruturas feitas de lã ao ar livre, pois relâmpagos de tempestades podem incendiar a lã.
tips.game.32	Um único balde de lava pode ser usado em uma fornalha para fundir 100 blocos.
tips.game.33	O instrumento tocado por um bloco de nota depende do material abaixo dele.
tips.game.34	Zumbis e esqueletos poderão sobreviver à luz do dia se estiverem na água.
tips.game.35	Se você atacar um lobo, todos os lobos da vizinhança ficarão hostis e o atacarão. Isso também acontece com os homens-porco zumbis.
tips.game.36	Os Lobos e Golens de Ferro não atacam Creepers.
tips.game.37	As galinhas põem ovos a cada 5 ou 10 minutos.
tips.game.38	A Obsidiana só pode ser extraída com uma picareta de diamante.
tips.game.39	Os Creepers são a fonte de pólvora mais fácil de se obter.
tips.game.41	Se colocar dois baús lado a lado você terá um baú grande.
tips.game.42	Lobos mansos mostram a saúde pela posição da cauda. Dê carne a eles para curá-los.
