tips.game.skinpacks	Du kannst das Aussehen deiner Spielfigur mit einem Skinpaket aus dem Store anpassen. Wähle "Store" im Hauptmenü, um zu sehen, was verfügbar ist.
tips.game.1	Eisengolems kämpfen für dich!
tips.game.2	Ändere die Gamma-Einstellung, um das Spiel heller oder dunkler anzeigen zu lassen.
tips.game.3	Wenn du die Spielschwierigkeit auf Friedlich setzt, wird deine Gesundheit automatisch regeneriert und nachts tauchen keine Monster auf!
tips.game.4	Füttere einen Wolf mit einem Knochen, um ihn zu zähmen. Du kannst ihm dann befehlen, sich zu setzen oder dir zu folgen.
tips.game.5	Wenn du einen Kürbis auf dem Kopf trägst, greifen dich die Endermen nicht an.
tips.game.6	Wenn du nachts in einem Bett schläfst, wird die Zeit bis zum Sonnenaufgang vorgedreht. In einem Multiplayer-Spiel müssen sich dafür aber alle Spieler gleichzeitig im Bett befinden.
tips.game.7	Sammle Essen von Schweinen, Kühen, Schafen, Kaninchen und Hühnern. Koche und esse es, um Gesundheit zu erhalten.
tips.game.8	Hol dir Leder von Kühen, und stell daraus Rüstungen und Bücher her.
tips.game.9	Wenn du einen leeren Eimer hast, kannst du ihn mit Wasser, Lava oder Milch von einer Kuh füllen!
tips.game.10	Bereite mit einer Hacke den Boden aufs Bepflanzen vor.
tips.game.11	Spinnen werden dich tagsüber nicht angreifen, es sei denn, du greifst sie an!
tips.game.12	Das Füttern von Tieren verhindert deren Verschwinden. Baue einen Pferch, um deine Tiere sicher unterzubringen.
tips.game.13	Gekochtes Essen stillt den Hunger besser als rohes.
tips.game.14	Stelle Fackeln her, um dunkle Bereiche zu beleuchten. In der Dunkelheit lauern Monster!
tips.game.15	Mit einer Lore und Schienen erreichst du dein Ziel schneller!
tips.game.16	Pflanz ein paar Setzlinge. Sie werden zu Bäumen heranwachsen.
tips.game.17	Pigmen greifen dich nicht an, es sei denn, du greifst sie an.
tips.game.18	Du kannst deinen Spawnpunkt ändern und zum Sonnenaufgang vorspringen, indem du in einem Bett schläfst.
tips.game.19	Schleudere die Feuerbälle auf den Ghast zurück!
tips.game.20	Wenn du ein Portal baust, kannst du damit in eine andere Dimension reisen - den Nether.
tips.game.22	Jeder Job erfordert das passende Werkzeug. Mit einer Schaufel gräbt es sich in der Erde viel einfacher als mit einer Spitzhacke.
tips.game.23	Wenn du keine Kohle für deine Fackeln findest, kannst du immer noch im Ofen aus Bäumen Holzkohle herstellen.
tips.game.24	Gerade nach unten oder oben zu graben, ist keine so gute Idee.
tips.game.25	Knochenmehl (hergestellt aus einem Skelettknochen) kann als Dünger verwendet werden und lässt Pflanzen sofort wachsen!
tips.game.26	Creeper explodieren, wenn sie dir zu nahekommen!
tips.game.27	Obsidian entsteht, wenn Wasser auf eine Lavaquelle trifft.
tips.game.28	Wenn ein Wasser- oder Lava-Quellblock entfernt wird, stoppt der Fluss.
tips.game.29	Bruchstein ist immun gegen die Feuerbälle von Ghasts und eignet sich daher zum Schutz von Portalen.
tips.game.30	Alle Blöcke, die als Lichtquelle verwendet werden können, schmelzen Schnee und Eis. Dazu zählen Fackeln, Glowstone und Kürbislaternen.
tips.game.31	Sei vorsichtig, wenn du unter freiem Himmel Strukturen aus Wolle baust, da Gewitterblitze Wolle entzünden können.
