tips.game.skinpacks	Changez l'apparence de votre personnage avec un pack de skins depuis le Magasin. Sélectionnez-le dans le menu principal pour voir ce qui est disponible.
tips.game.1	Les golems de fer se battront pour vous !
tips.game.2	Modifiez les paramètres pour augmenter/réduire la luminosité du jeu.
tips.game.3	Si vous avez réglé la difficulté du jeu sur Paisible, votre santé se régénérera automatiquement, et aucun monstre ne sera de sortie à la nuit tombée !
tips.game.4	Donnez un os à un loup pour l'amadouer. Ensuite, donnez-lui l'ordre de s'asseoir ou de vous suivre.
tips.game.5	Les Enderman ne vous attaqueront pas si vous portez une citrouille sur la tête.
tips.game.6	À la nuit tombée, dormir dans un lit accélère le défilement du temps jusqu'au matin suivant. En mode multijoueur, tous les joueurs doivent dormir dans leur lit en même temps.
tips.game.7	Récupérez de la nourriture sur les cochons, les vaches, les moutons, les lapins et les poulets. Vous regagnerez de la vie en mangeant !
tips.game.8	Prélevez du cuir sur les vaches et utilisez-le pour confectionner des armures et des livres.
tips.game.9	Si vous avez un seau vide, remplissez-le de lait de vache, d'eau ou de lave !
tips.game.10	Utilisez une houe pour préparer des terres arables à la culture.
tips.game.11	Les araignées ne vous attaqueront pas de jour, sauf pour se défendre.
tips.game.12	Nourrir un animal lui évite de disparaître. Construisez un enclos pour protéger vos animaux.
tips.game.13	La nourriture cuisinée atténue mieux la faim que la nourriture crue.
tips.game.14	Fabriquez des torches pour éclairer les endroits sombres. Des monstres rôdent dans les ténèbres !
tips.game.15	Rendez-vous plus rapidement à bon port dans un wagonnet propulsé sur des rails !
tips.game.16	Plantez de jeunes pousses et elles produiront des arbres.
tips.game.17	Les hommes-cochons ne s'en prendront pas à vous, sauf si vous les attaquez.
tips.game.18	Dormez dans un lit pour changer votre point d'apparition dans le jeu et accélérer le temps jusqu'à l'aube.
tips.game.19	Retournez ces boules de feu à l'envoyeur !
tips.game.20	Construire un portail vous permettra de voyager jusqu'à une autre dimension : le Nether.
tips.game.22	À chaque outil, son rôle ! Vous creuserez plus vite en utilisant une pelle plutôt qu'une pioche !
tips.game.23	Si vous ne trouvez pas de charbon pour embraser vos torches, vous pouvez toujours placer du bois dans le four pour obtenir du charbon de bois.
tips.game.24	Creuser juste sous vos pieds, ou au-dessus de vous, c'est rarement très judicieux.
tips.game.25	La poudre d'os (obtenue depuis un os de squelette) peut servir d'engrais : vos cultures arrivent instantanément à maturité !
tips.game.26	Les creepers explosent au contact !
tips.game.27	Au contact de l'eau, une source de lave produit de l'obsidienne.
tips.game.28	Si vous détruisez le bloc de source d'eau ou de lave, l'écoulement s'arrêtera complètement.
tips.game.29	La pierre taillée résiste aux boules de feu des ghasts et convient donc très bien à la protection des portails.
tips.game.30	Les blocs susceptibles d'émettre de la lumière (torches, pierres lumineuses et citrouilles-lanternes, entre autres) peuvent faire fondre la neige et la glace.
tips.game.31	Si vous bâtissez des structures de laine en extérieur, méfiez-vous : les éclairs peuvent y mettre le feu.
tips.game.32	Un seul seau de lave suffit à fondre 100 blocs dans un four.
tips.game.33	L'instrument joué par un bloc musical dépend du matériau sur lequel il est posé.
tips.game.34	Les zombies et squelettes peuvent survivre à la lumière du jour s'ils sont dans l'eau ou s'ils portent un casque.
tips.game.35	Si vous attaquez un loup, tous les loups à proximité immédiate deviendront aussitôt agressifs ; une propriété qu'ils partagent avec les cochons-zombies.
tips.game.36	Les loups et les golems de fer n'attaqueront pas les creepers.
tips.game.37	Les poules pondent un œuf toutes les 5 à 10 minutes.
tips.game.38	L'obsidienne ne peut se miner qu'à l'aide d'une pioche en diamant.
tips.game.39	Les creepers sont la source de poudre à canon la plus facile à obtenir.
tips.game.41	Deux coffres placés côte à côte formeront un grand coffre.
tips.game.42	La santé des loups apprivoisés est illustrée par la position de leur queue. Donnez-leur de la viande pour les soigner.
tips.game.43	Vous pouvez fabriquer différents colorants à partir de nombreuses matières premières. Faites cuire un cactus dans un four pour obtenir du colorant vert !
