tips.game.skinpacks	Podes mudar o aspeto da personagem com um Pack de Skins da Loja. Seleciona "Loja" no Menu Principal para veres o que está ao teu dispor.
tips.game.1	Os golens de ferro lutam por ti!
tips.game.2	Altera as definições de iluminação para veres o jogo com maior ou menor luminosidade.
tips.game.3	Se configurares a dificuldade do jogo para Calmo, a tua saúde irá regenerar automaticamente e não surgirão monstros durante a noite!
tips.game.4	Dá um osso a um lobo para o domares. Depois, poderás ordenar-lhe para se sentar ou seguir-te.
tips.game.5	Usares uma abóbora na cabeça vai fazer com que os Homens do Fim não te ataquem.
tips.game.6	Se dormires numa cama durante a noite irás acelerar o jogo até de madrugada, mas é necessário que todos os jogadores no jogo multijogador estejam a dormir em camas ao mesmo tempo.
tips.game.7	Recolhe comida de porcos, vacas, ovelhas, coelhos e galinhas. Cozinha e come-a para ganhares saúde!
tips.game.8	Obtém cabedal a partir das vacas e constrói armaduras e livros.
tips.game.9	Se tiveres um balde vazio, poderás enchê-lo com água, lava ou leite de vaca!
tips.game.10	Utiliza uma enxada para preparar áreas de terreno para o cultivo.
tips.game.11	As aranhas não te atacam durante o dia, a não ser que as ataques.
tips.game.12	Alimentar um animal impede-o de desaparecer. Constrói um estábulo para manter os teus animais seguros.
tips.game.13	Comer alimentos cozinhados mata mais a fome do que comer alimentos crus.
tips.game.14	Cria tochas para iluminar áreas escuras. Os monstros escondem-se na escuridão!
tips.game.15	Chega ao destino mais rapidamente com uma vagoneta sobre carris!
tips.game.16	Planta alguns rebentos para que se transformem em árvores.
tips.game.17	Os Homens-Porco não te atacam, a não ser que os ataques.
tips.game.18	Podes alterar o ponto de geração do jogo e avançar até à madrugada dormindo numa cama.
tips.game.19	Atira essas bolas de fogo de volta para o Ghast!
tips.game.20	Constrói um portal para poderes viajar até outra dimensão - o Submundo.
tips.game.22	Utiliza a ferramenta adequada para a tarefa! Escavar terra com uma pá é muito mais rápido do que utilizar uma picareta!
tips.game.23	Se não conseguires encontrar carvão para as tochas, podes produzir carvão vegetal a partir de árvores numa fornalha.
tips.game.24	Não é boa ideia escavares diretamente para cima ou para baixo.
tips.game.25	O pó de ossos (obtido a partir de um osso de Esqueleto) pode ser usado como fertilizante e fazer com que as plantações cresçam instantaneamente!
tips.game.26	Os Creepers explodem quando se aproximam de ti!
tips.game.27	A obsidiana forma-se quando a água atinge um bloco de lava.
tips.game.28	Se o bloco de origem de água ou lava for removido, vai parar completamente o fluxo.
tips.game.29	A pedra arredondada resiste às bolas de fogo do Ghast, sendo muito útil para proteger portais.
tips.game.30	Os blocos que podem ser utilizados como fonte de luz, como tochas, glowstones e abóboras iluminadas, derretem a neve e o gelo.
tips.game.31	Tem cuidado ao construíres estruturas de lã a céu aberto, uma vez que os raios durante as trovoadas podem incendiar a lã.
tips.game.32	Um único balde de lava pode ser utilizado na fornalha para fundir 100 blocos.
tips.game.33	O instrumento tocado pelo bloco de notas depende do material sobre o qual se encontra.
tips.game.34	Os Mortos-vivos e os Esqueletos conseguem sobreviver à luz do dia se estiverem dentro de água ou a usar um capacete.
tips.game.35	Se atacares um lobo, todos os lobos nas redondezas irão tornar-se hostis e atacar-te. Isto também acontece com os Homens-Porco Mortos-vivos.
tips.game.36	Os Lobos e os Golems de Ferro não atacam Creepers.
tips.game.37	As galinhas põem um ovo a cada 5 ou 10 minutos.
tips.game.38	A obsidiana só pode ser extraída com uma picareta de diamante.
tips.game.39	Os Creepers são a forma mais fácil de obter de pólvora.
tips.game.41	Cria um baú grande colocando dois baús lado a lado.
tips.game.42	Podes ver o estado de saúde dos lobos domados pela posição da sua cauda. Dá-lhes carne para os curares.
tips.game.43	É possível fazer tintas de cores diferentes a partir de uma série de materiais: cozinha catos num forno para obteres tinta verde!
tips.game.44	Em dispositivos móveis, podes transferir o pack "Música do Minecraft" a partir da Categoria Música na Loja Minecraft.
tips.game.45	Alguns animais seguir-te-ão se tiveres trigo na mão.
tips.trivia.1	Música de C418!
tips.trivia.2	Eventualmente, existirá uma atualização para este jogo!
tips.trivia.3	A Mojang tem mais prémios do que colaboradores!
tips.trivia.4	Alguns famosos jogam Minecraft!
tips.trivia.5	Não olhes diretamente para os bugs.
tips.trivia.6	Os Creepers nasceram de um bug de codificação.
tips.trivia.7	É uma galinha ou um pato?
tips.trivia.8	Estiveste no MINECON?
tips.trivia.9	Nunca ninguém da Mojang viu a cara do Junkboy.
tips.trivia.10	Sabias que existe um Minecraft Wiki?
tips.trivia.11	O MINECON 2011 foi realizado em Las Vegas, Nevada, EUA!
tips.trivia.12	O MINECON 2012 foi realizado em Paris, França!
tips.trivia.13	O MINECON 2013 foi realizado em Orlando, Flórida, EUA!
tips.trivia.14	Ninguém se lembra onde se realizou o MINECON 2014.
tips.trivia.15	O MINECON 2015 foi realizado em Londres, Reino Unido!
tips.trivia.16	O MINECON 2016 foi realizado em Anaheim, Califórnia, EUA!
tips.trivia.17	Presume sempre que os rumores são falsos e não verdadeiros!
tips.trivia.18	A primeira versão do Minecraft foi criada em apenas 6 dias!
tips.trivia.19	O idioma dos Enderman é, na verdade, Inglês ao contrário.
tips.trivia.20	O nome original do Minecraft era Cave Game.
tips.trivia.21	Os porcos atingidos por relâmpagos tornam-se Homens-porcos Mortos-vivos!
tips.trivia.22	Os Homens do Fim odeiam tomar banho! 
tips.trivia.23	Por vezes, os golens de ferro dão flores às crianças aldeãs!
tips.trivia.24	Um Jóquei de Aranha é o raro aparecimento de um esqueleto montado numa aranha!
tips.trivia.25	Viajar um bloco no Submundo é igual a viajar oito blocos no Mundo Superior.
numc3ds.transfer.import	A importar mundos
numc3ds.transfer.export	A exportar mundo
numc3ds.transfer.export_action	Exportar mundo
numc3ds.transfer.copying	A copiar mundo
numc3ds.transfer.verifying	A verificar mundo
numc3ds.transfer.replacing	A substituir exportação
numc3ds.transfer.invalid	Mundo inválido ignorado
numc3ds.transfer.capacity	Espaço de armazenamento insuficiente
numc3ds.transfer.cancelled	Transferência cancelada
numc3ds.transfer.cleanup	É necessário limpar o cartão SD
numc3ds.transfer.complete	Transferência concluída
numc3ds.transfer.replace	Substituir exportação
numc3ds.transfer.cancel	Cancelar
