tips.game.skinpacks	Внешний вид персонажей можно менять с помощью наборов скинов из магазина. Нажмите кнопку «Магазин» в главном меню, чтобы просмотреть предложения.
tips.game.1	Железные големы сражаются за вас!
tips.game.2	Если хотите сделать изображение ярче или темнее, измените параметр яркости.
tips.game.3	Если выбрать уровень сложности «Мирный», здоровье персонажа будет восстанавливаться автоматически, а монстры не будут выходить на охоту ночью.
tips.game.4	Чтобы приручить волка, скормите ему кость. После этого вы сможете отдавать ему команды, например заставить его сидеть или идти за вами.
tips.game.5	Если вы наденете на голову тыкву, странники Края не будут вас атаковать.
tips.game.6	Если лечь спать, время будет идти быстрее, и рассвет наступит почти сразу. Если вы играете по сети, все игроки должны лечь спать в одно время.
tips.game.7	Добывайте мясо свиней, коров, овец, кроликов и кур. Готовьте его и ешьте, чтобы восстановить здоровье.
tips.game.8	Выращивайте коров и делайте из их кожи доспехи и книги.
tips.game.9	Если у вас есть пустое ведро, можете наполнить его водой, лавой или коровьим молоком.
tips.game.10	Мотыга нужна, чтобы разрыхлить почву перед посадкой растений.
tips.game.11	Днем пауки ведут себя мирно и нападут на вас, только если вы очень сильно их разозлите.
tips.game.12	Кормите животных, чтобы они не исчезли. Постройте загон, чтобы животные были в безопасности.
tips.game.13	Приготовленная пища утоляет голод лучше, чем сырая.
tips.game.14	Изготавливайте факелы, чтобы освещать темные области. В темноте скрываются монстры!
tips.game.15	Вагонетка и рельсы помогут быстрее добраться в нужное место.
tips.game.16	Засадите участок саженцами, и очень скоро там будет шуметь густая роща.
tips.game.17	Свинолюди не будут вас трогать, если вы не атакуете первым.
tips.game.18	Вы можете изменить свою точку появления и лечь спать, чтобы не ждать рассвета.
tips.game.19	Отбивайте огненные шары прямо в гастов!
tips.game.20	Если вы хотите попасть в другое измерение (Нижний мир), возведите портал.
tips.game.22	Используйте подходящие инструменты! Копать землю лопатой куда сподручнее, чем киркой.
tips.game.23	Если вы не можете найти уголь для факелов, можно сжечь несколько деревьев в печи, и у вас получится древесный уголь.
tips.game.24	Копать вертикально вверх или вниз – плохая идея.
tips.game.25	Костная мука (делается из костей) – это отличное удобрение: всё будет расти как на дрожжах!
tips.game.26	Стоит криперам очутиться рядом с вами, и они тут же взорвутся.
tips.game.27	Если вода попадет в источник лавы, образуется обсидиан.
tips.game.28	Если удалить блок-источник воды или лавы, их течение будет прервано.
tips.game.29	Огненные шары гастов не способны пробить булыжник, поэтому такие блоки хорошо подходят для защиты порталов.
tips.game.30	Некоторые источника света способны растапливать снег и лед. В эту категорию попадают факелы, светящиеся камни и светильники Джека.
tips.game.31	Помните, что постройки из шерсти на открытой местности довольно опасны. Если в них попадет молния, они сгорят дотла.
tips.game.32	Одного ведра лавы хватит, чтобы расплавить в печке 100 блоков.
tips.game.33	Музыкальный блок может издавать разные звуки. Все зависит от того, какой материал находится под ним.
tips.game.34	Зомби и скелеты могут выжить при дневном свете, если будут находиться в воде или носить шлем.
tips.game.35	Если напасть на волка, когда рядом его собратья, они сразу же бросятся на вас. Это также относится к зомби-свинолюдям.
tips.game.36	Волки и железные големы не атакуют криперов.
tips.game.37	Куры несутся каждые 5–10 минут.
tips.game.38	Обсидиан можно добыть только алмазной киркой.
tips.game.39	Самый простой способ добыть порох – это убить крипера.
tips.game.41	Если поставить два сундука рядом, получится один большой сундук.
tips.game.42	Чтобы узнать, сколько здоровья осталось у прирученного волка, посмотрите на его хвост. Кормите волка мясом, и он всегда будет здоров.
tips.game.43	Разные красители можно получить из самых разных материалов. Например, приготовьте кактус в печке, чтобы получить зеленый краситель.
tips.game.44	На мобильных устройствах вы можете скачать набор «Музыка Minecraft» в разделе «Музыка» магазина Minecraft.
tips.game.45	Некоторых животных можно приманить пшеницей. Возьмите ее в руку, и они пойдут за вами.
tips.trivia.1	Автор музыки – C418.
tips.trivia.2	Когда-нибудь игру все-таки обновят.
tips.trivia.3	У компании Mojang больше наград, чем сотрудников!
tips.trivia.4	В Minecraft играют даже знаменитости!
tips.trivia.5	Не обращайте внимания на программные ошибки.
tips.trivia.6	Криперы появились на свет благодаря ошибке в программном коде.
tips.trivia.7	Это курица или утка?
tips.trivia.8	Вы были на слете MINECON?
tips.trivia.9	Никто в Mojang не видел лица парня по кличке Junkboy.
tips.trivia.10	Есть такой портал – Minecraft Wiki. Не знали?
tips.trivia.11	Слет MINECON 2011 состоялся в Лас-Вегасе (штат Невада, США).
tips.trivia.12	Слет MINECON 2012 состоялся в Париже (Франция).
tips.trivia.13	Слет MINECON 2013 состоялся в Орландо (штат Флорида, США).
tips.trivia.14	Никто не помнит, где состоялся слет MINECON 2014.
tips.trivia.15	Слет MINECON 2015 состоялся в Лондоне (Соединенное Королевство).
tips.trivia.16	Слет MINECON 2016 состоялся в Анахайме (штат Калифорния, США).
tips.trivia.17	Никогда не верьте слухам!
tips.trivia.18	Первая версия Minecraft была создана всего за 6 дней.
tips.trivia.19	Язык странников Края – это английский задом наперед.
tips.trivia.20	Оригинальное название Minecraft – Cave Game.
tips.trivia.21	Свиньи, в которых попадает молния, превращаются в зомби-свинолюдей.
tips.trivia.22	Странники Края терпеть не могут купаться. 
tips.trivia.23	Иногда железные големы дарят детям селян цветы.
tips.trivia.24	Паук с наездником – это редкая разновидность паука, оседланного скелетом.
tips.trivia.25	Дистанция в один блок в Нижнем мире равна дистанции в восемь блоков в Верхнем.
numc3ds.transfer.import	Импорт миров
numc3ds.transfer.export	Экспорт мира
numc3ds.transfer.export_action	Экспортировать мир
numc3ds.transfer.copying	Копирование мира
numc3ds.transfer.verifying	Проверка мира
numc3ds.transfer.replacing	Замена экспорта
numc3ds.transfer.invalid	Недействительный мир пропущен
numc3ds.transfer.capacity	Недостаточно места в хранилище
numc3ds.transfer.cancelled	Передача отменена
numc3ds.transfer.cleanup	Требуется очистка SD-карты
numc3ds.transfer.complete	Передача завершена
numc3ds.transfer.replace	Заменить экспорт
numc3ds.transfer.cancel	Отмена
